conv_layers,filters,kernel_size,dropout_rate,dense_units,pool_size,accuracy,precision,recall,f1
3,32,3,0.1,32,2,0.785,0.794,0.752,0.773
3,32,3,0.1,32,3,0.697,0.714,0.629,0.668
3,32,3,0.1,64,2,0.688,0.712,0.600,0.651
3,32,3,0.1,64,3,0.609,0.638,0.452,0.529
3,32,3,0.1,128,2,0.681,0.717,0.567,0.633
3,32,3,0.1,128,3,0.655,0.663,0.590,0.625
3,32,3,0.2,32,2,0.655,0.729,0.462,0.566
3,32,3,0.2,32,3,0.683,0.706,0.595,0.646
3,32,3,0.2,64,2,0.660,0.654,0.638,0.646
3,32,3,0.2,64,3,0.613,0.617,0.538,0.575
3,32,3,0.2,128,2,0.701,0.737,0.600,0.661
3,32,3,0.2,128,3,0.627,0.696,0.414,0.519
3,32,3,0.3,32,2,0.662,0.700,0.533,0.605
3,32,3,0.3,32,3,0.669,0.622,0.814,0.705
3,32,3,0.3,64,2,0.713,0.692,0.738,0.714
3,32,3,0.3,64,3,0.660,0.640,0.686,0.662
3,32,3,0.3,128,2,0.741,0.772,0.662,0.713
3,32,3,0.3,128,3,0.660,0.625,0.748,0.681
3,32,5,0.1,32,2,0.715,0.760,0.605,0.674
3,32,5,0.1,32,3,0.757,0.784,0.690,0.734
3,32,5,0.1,64,2,0.755,0.736,0.771,0.753
3,32,5,0.1,64,3,0.780,0.780,0.762,0.771
3,32,5,0.1,128,2,0.766,0.751,0.776,0.763
3,32,5,0.1,128,3,0.738,0.762,0.671,0.714
3,32,5,0.2,32,2,0.785,0.791,0.757,0.774
3,32,5,0.2,32,3,0.634,0.676,0.476,0.559
3,32,5,0.2,64,2,0.745,0.753,0.710,0.730
3,32,5,0.2,64,3,0.690,0.729,0.576,0.644
3,32,5,0.2,128,2,0.683,0.730,0.552,0.629
3,32,5,0.2,128,3,0.699,0.767,0.548,0.639
3,32,5,0.3,32,2,0.838,0.797,0.895,0.843
3,32,5,0.3,32,3,0.697,0.691,0.681,0.686
3,32,5,0.3,64,2,0.653,0.681,0.538,0.601
3,32,5,0.3,64,3,0.676,0.699,0.586,0.637
3,32,5,0.3,128,2,0.697,0.638,0.871,0.736
3,32,5,0.3,128,3,0.769,0.710,0.886,0.788
3,32,7,0.1,32,2,0.685,0.761,0.514,0.614
3,32,7,0.1,32,3,0.644,0.640,0.610,0.624
3,32,7,0.1,64,2,0.771,0.785,0.729,0.756
3,32,7,0.1,64,3,0.741,0.706,0.800,0.750
3,32,7,0.1,128,2,0.762,0.740,0.786,0.762
3,32,7,0.1,128,3,0.734,0.729,0.719,0.724
3,32,7,0.2,32,2,0.757,0.756,0.738,0.747
3,32,7,0.2,32,3,0.771,0.771,0.752,0.761
3,32,7,0.2,64,2,0.653,0.724,0.462,0.564
3,32,7,0.2,64,3,0.743,0.735,0.738,0.736
3,32,7,0.2,128,2,0.752,0.764,0.710,0.736
3,32,7,0.2,128,3,0.729,0.741,0.681,0.710
3,32,7,0.3,32,2,0.799,0.789,0.800,0.794
3,32,7,0.3,32,3,0.678,0.708,0.576,0.635
3,32,7,0.3,64,2,0.653,0.656,0.600,0.627
3,32,7,0.3,64,3,0.701,0.731,0.610,0.665
3,32,7,0.3,128,2,0.727,0.677,0.838,0.749
3,32,7,0.3,128,3,0.701,0.731,0.610,0.665
3,64,3,0.1,32,2,0.683,0.774,0.490,0.601
3,64,3,0.1,32,3,0.613,0.624,0.514,0.564
3,64,3,0.1,64,2,0.764,0.762,0.748,0.755
3,64,3,0.1,64,3,0.690,0.732,0.571,0.642
3,64,3,0.1,128,2,0.766,0.704,0.895,0.788
3,64,3,0.1,128,3,0.704,0.770,0.557,0.646
3,64,3,0.2,32,2,0.674,0.709,0.557,0.624
3,64,3,0.2,32,3,0.662,0.690,0.552,0.614
3,64,3,0.2,64,2,0.657,0.696,0.524,0.598
3,64,3,0.2,64,3,0.604,0.617,0.490,0.546
3,64,3,0.2,128,2,0.731,0.735,0.700,0.717
3,64,3,0.2,128,3,0.650,0.665,0.567,0.612
3,64,3,0.3,32,2,0.799,0.806,0.771,0.788
3,64,3,0.3,32,3,0.627,0.667,0.467,0.549
3,64,3,0.3,64,2,0.655,0.705,0.500,0.585
3,64,3,0.3,64,3,0.683,0.648,0.762,0.700
3,64,3,0.3,128,2,0.785,0.791,0.757,0.774
3,64,3,0.3,128,3,0.671,0.662,0.662,0.662
3,64,5,0.1,32,2,0.743,0.756,0.695,0.725
3,64,5,0.1,32,3,0.752,0.754,0.729,0.741
3,64,5,0.1,64,2,0.713,0.783,0.567,0.657
3,64,5,0.1,64,3,0.769,0.786,0.719,0.751
3,64,5,0.1,128,2,0.650,0.638,0.648,0.643
3,64,5,0.1,128,3,0.706,0.724,0.638,0.678
3,64,5,0.2,32,2,0.734,0.711,0.762,0.736
3,64,5,0.2,32,3,0.667,0.663,0.638,0.650
3,64,5,0.2,64,2,0.748,0.762,0.700,0.730
3,64,5,0.2,64,3,0.669,0.738,0.495,0.593
3,64,5,0.2,128,2,0.743,0.728,0.752,0.740
3,64,5,0.2,128,3,0.743,0.780,0.657,0.713
3,64,5,0.3,32,2,0.722,0.745,0.652,0.695
3,64,5,0.3,32,3,0.678,0.723,0.548,0.623
3,64,5,0.3,64,2,0.674,0.649,0.714,0.680
3,64,5,0.3,64,3,0.678,0.694,0.605,0.646
3,64,5,0.3,128,2,0.630,0.669,0.471,0.553
3,64,5,0.3,128,3,0.669,0.677,0.610,0.642
3,64,7,0.1,32,2,0.688,0.722,0.581,0.644
3,64,7,0.1,32,3,0.657,0.634,0.700,0.665
3,64,7,0.1,64,2,0.697,0.680,0.710,0.695
3,64,7,0.1,64,3,0.741,0.736,0.729,0.732
3,64,7,0.1,128,2,0.755,0.765,0.714,0.739
3,64,7,0.1,128,3,0.762,0.734,0.800,0.765
3,64,7,0.2,32,2,0.711,0.840,0.500,0.627
3,64,7,0.2,32,3,0.708,0.762,0.581,0.659
3,64,7,0.2,64,2,0.694,0.719,0.610,0.660
3,64,7,0.2,64,3,0.766,0.782,0.719,0.749
3,64,7,0.2,128,2,0.764,0.800,0.686,0.738
3,64,7,0.2,128,3,0.780,0.786,0.752,0.769
3,64,7,0.3,32,2,0.678,0.673,0.657,0.665
3,64,7,0.3,32,3,0.752,0.714,0.819,0.763
3,64,7,0.3,64,2,0.778,0.769,0.776,0.773
3,64,7,0.3,64,3,0.773,0.772,0.757,0.764
3,64,7,0.3,128,2,0.762,0.786,0.700,0.741
3,64,7,0.3,128,3,0.752,0.754,0.729,0.741
3,128,3,0.1,32,2,0.688,0.676,0.686,0.681
3,128,3,0.1,32,3,0.738,0.787,0.633,0.702
3,128,3,0.1,64,2,0.787,0.754,0.833,0.792
3,128,3,0.1,64,3,0.741,0.727,0.748,0.737
3,128,3,0.1,128,2,0.713,0.826,0.519,0.637
3,128,3,0.1,128,3,0.669,0.691,0.576,0.629
3,128,3,0.2,32,2,0.681,0.737,0.533,0.619
3,128,3,0.2,32,3,0.674,0.741,0.505,0.601
3,128,3,0.2,64,2,0.743,0.739,0.729,0.734
3,128,3,0.2,64,3,0.683,0.709,0.590,0.644
3,128,3,0.2,128,2,0.715,0.716,0.686,0.701
3,128,3,0.2,128,3,0.674,0.780,0.457,0.577
3,128,3,0.3,32,2,0.808,0.775,0.852,0.812
3,128,3,0.3,32,3,0.644,0.632,0.638,0.635
3,128,3,0.3,64,2,0.794,0.798,0.771,0.785
3,128,3,0.3,64,3,0.630,0.702,0.414,0.521
3,128,3,0.3,128,2,0.734,0.709,0.767,0.737
3,128,3,0.3,128,3,0.662,0.667,0.610,0.637
3,128,5,0.1,32,2,0.778,0.732,0.857,0.789
3,128,5,0.1,32,3,0.648,0.716,0.457,0.558
3,128,5,0.1,64,2,0.674,0.709,0.557,0.624
3,128,5,0.1,64,3,0.755,0.732,0.781,0.756
3,128,5,0.1,128,2,0.745,0.784,0.657,0.715
3,128,5,0.1,128,3,0.708,0.733,0.629,0.677
